"背诵(记诵)";"to recite/learn by heart and repeat from memory"
"(数据/联机/脱机)备份(支援)";"backup"
"备忘录(便条)";"memo/memorandum/notes"
"贝壳 (贝类)";"shell/conch"
"奔波";"be busy running about"
"奔驰 (奔跑/奔走/跑步)";"run quickly (wildly fast)"
"本能 (直觉)";"instinct"
"本钱 (资金/资本)";"capital asset/funds"
"本人(自己/本人/自身)";"oneself"
"本身(自身)";"itself"
"本事(本领/能事)";"ability/skill"
"笨拙(愚蠢)";"clumsy/awkward"
"崩溃(解体)";"collapse/crumble/fall apart"
"甭(甭提/甭管)";"not (don't mention)"
"蹦(蹦跳/蹦高)(蹦极)";"to hop/leap/jump"
"迸发";"to burst forth"
"逼迫(强逼/强迫/迫使)";"to force/compel"
"(擤/流)鼻涕";"nasal mucus/snivel"
"比方(比方说/如果)";"example/analogy/for instance"
"比喻(比作/比较)";"to compare/liken to/metaphor"
"比重(比例)";"proportion"
"鄙视(轻视)";"despise/disdain/look down upon"
"(左/右/双)臂(臂膀/臂力)";"upper arm (from neck to elbow)"
"弊病(弊端/害处)(好处/益处)";"evil/drawback/ills/disadvantages"
"弊端(弊病/害处)(好处/益处)";"malpractice/abuse/ills"
